Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Mean.Fatalities.per.Accident
GRUMMAN-SCHWEIZER G-164A,50,50,0.0,0.0,12.0,36.0,0.0
AEROSPATIALE SA-315B,10,10,0.0,0.0,8.0,10.0,0.0
PIPER PA 18,27,27,0.0,0.0,4.0,28.0,0.0
PZL-MIELEC M-18A,10,10,0.0,0.0,3.0,6.0,0.0
HILLER UH12E,14,14,0.0,0.0,5.0,10.0,0.0
BOEING 737-7H4,19,11,0.0,0.0,5.0,2207.0,0.0
PIPER PA 22,14,14,0.0,0.0,0.0,18.0,0.0
BELL 47D-1,11,11,0.0,0.0,2.0,13.0,0.0
BELL 47-D1,10,10,0.0,0.0,3.0,11.0,0.0
PIPER PA-18-105,14,14,0.0,0.0,1.0,16.0,0.0
CUBCRAFTERS INC CC11-160,19,19,0.0,0.0,2.0,20.0,0.0
PIPER PA-28-140B,12,12,0.0,0.0,10.0,13.0,0.0
RAVEN S55A,12,12,0.0,0.0,6.0,17.0,0.0
NORTH AMERICAN AT-6G,12,12,0.0,0.0,4.0,15.0,0.0
CESSNA C172,12,12,0.0,0.0,4.0,17.0,0.0
PIPER J3-C65,12,12,0.0,0.0,2.0,11.0,0.0
MAULE MX7,18,18,0.0,0.0,2.0,19.0,0.0
PIPER PA-18A 150,12,12,0.0,0.0,0.0,16.0,0.0
BELL 47G-3B,15,15,0.0,0.0,9.0,9.0,0.0
BELL 47G3B1,15,15,0.0,0.0,3.0,12.0,0.0
